"species","nbrood","avgbrood","minbrood","maxbrood","pmult","avgsire","minsire","maxsire","species_ID","StudyID","PopulationID","Reference"
"Rufous-and-white wren, Thryothorus rufalbus",51,3.09803921568627,NA,NA,0.0588235294117647,1.05882352941176,1,2,319,"121",466,"Douglas et al 2012"
"Great reed warbler, Acrocephalus arundinaceus",272,2.49819655521783,2,6,0.0661764705882353,1.06617647058824,1,2,4,"206",4,"Hansson et al 2004"
"Greater sage-grouse, Centrocercus urophasianus",191,6.31413612565445,NA,NA,0.0736842105263158,1.07368421052632,1,2,63,"43",77,"Bird et al 2012"
"Southern emu-wren, Stipiturus malachurus",27,1.85185185185185,1,3,0.0740740740740741,1.07407407407407,1,2,294,"332",430,"Maguire & Mulder 2008"
"Jabiru, Jabiru mycteria",13,2.61538461538462,NA,NA,0.0769230769230769,1.38461538461538,1,2,160,"322",220,"Lopes et al 2013"
"Eurasian three-toed woodpecker, Picoides tridactylus",26,3.07692307692308,NA,NA,0.0769230769230769,1.07692307692308,1,2,248,"309",368,"Li et al 2009"
"Eurasian linnet, Carduelis cannabina",22,4.81818181818182,NA,NA,0.0909090909090909,1.09090909090909,1,2,57,"52",70,"Bonlokke-Pedersen et al 2002"
"Scaled quail, Callipepla squamata",22,9.72727272727273,NA,NA,0.0909090909090909,1.09,1,2,353,"566",514,"Davis et al 2017"
"Common swift, Apus apus",42,2.0952380952381,NA,NA,0.0952380952380952,1.0952380952381,1,2,31,"341",41,"Hasegawa et al 2010"
"Eastern bluebird, Sialia sialis",79,3.73809523809524,NA,NA,0.0952380952380952,1.0952380952381,1,2,286,"481",419,"Stewart et al 2010"
"Montagu's harrier, Circus pygargus",10,3.2,NA,NA,0.1,1.1,1,2,85,"447",103,"Rutkowski et al 2014"
"Comb-crested jacana, Irediparra gallinacea",10,3.5,NA,NA,0.1,1.1,1,2,159,"195",219,"Haig et al 2003"
"Banded wren, Thryothorus pleurostictus",50,3.12,NA,NA,0.1,1.1,1,2,318,"98",465,"Cramer et al 2011"
"Common redstart, Phoenicurus phoenicurus",38,6.65789473684211,NA,NA,0.105263157894737,1.10526315789474,1,2,242,"272",357,"Kleven et al 2007"
"El oro parakeet, Pyrrhura orcesi",28,3.71428571428571,NA,NA,0.107142857142857,1.10714285714286,1,2,270,"268",394,"Klauke et al 2013"
"House wren, Troglodytes aedon",9,6,NA,NA,0.111111111111111,1.11111111111111,1,2,322,"66",474,"Brylawski & Whittingham 2004"
"Chilean swallow, Tachycineta meyeni",52,3.09615384615385,NA,NA,0.115384615384615,1.13461538461538,1,3,308,"151",453,"Ferretti et al 2016"
"Golden whistlers, Pachycephala pectoralis",65,2,NA,NA,0.123076923076923,1.13846153846154,1,3,208,"511",283,"van Dongen & Mulder 2009"
"Lesser kestrel, Falco naumanni",8,3,NA,NA,0.125,1.125,1,2,128,"9",159,"Alcaide et al 2005"
"Long-tailed tit, Aegithalos caudatus",48,7.75,NA,NA,0.125,1.125,1,2,15,"207",18,"Hatchwell et al 2002"
"Cherrie's tanager, Ramphocelus costaricensis",31,1.8,1,2,0.133333333333333,1.13333333333333,1,2,272,"285",396,"Krueger et al 2008"
"Black-browed reed-warbler, Acrocephalus bistrigiceps",37,3.78378378378378,3,6,0.135135135135135,1.13513513513514,1,2,5,"198",6,"Hamao & Saito 2005"
"House finch, Carpodacus mexicanus",59,3.59322033898305,NA,NA,0.135593220338983,1.15254237288136,1,3,60,"318",73,"Lindstedt et al 2007"
"Wood thrush, Hylocichla mustelina",51,2.96078431372549,NA,NA,0.137254901960784,1.13725490196078,1,2,155,"144",213,"Evans et al 2008b"
"Stellers jay, Cyanocitta stelleri",41,1.92682926829268,NA,NA,0.146341463414634,1.14634146341463,1,2,97,"391",117,"Overeem et al 2014"
"Cactus finch, Geospiza scandens",66,2.40909090909091,NA,NA,0.151515151515152,1.16666666666667,1,3,145,"401",190,"Petren et al. (1999)"
"Eurasian reed-warbler, Acrocephalus scirpaceus",52,3.57692307692308,NA,NA,0.153846153846154,1.15384615384615,1,2,10,"105",12,"Davies et al 2003"
"Cape pendulin tit, Anthoscopus minutus",13,3.23076923076923,NA,NA,0.153846153846154,1.15384615384615,1,2,27,"29",37,"Ball et al. 2017"
"American golden plover, Pluvialis dominica",31,3.45161290322581,NA,NA,0.161290322580645,1.16129032258065,1,2,NA,NA,374,"Yezerinac et al 2013"
"Seaside sparrow, Ammodramus maritimus",18,2.61111111111111,NA,NA,0.166666666666667,1.16666666666667,1,2,24,"217",33,"Hill and Post 2005"
"White-tailed ptarmigan, Lagopus leucura",18,3.22222222222222,NA,NA,0.166666666666667,1.16666666666667,1,2,165,"38",227,"Benson 2002"
"Subdesert mesite, Monias benschi",11,1.54545454545455,1,2,0.181818181818182,1.18181818181818,1,1,197,"464",266,"Seddon et al 2005"
"Sedge warbler, Acrocephalus schoenobaenus",85,4.74117647058824,NA,NA,0.188235294117647,1.20168067226891,1,3,9,"338",11,"Marshall et al 2007"
"Pied flycatcher, Ficedula hypoleuca",296,5.91554054054054,3,8,0.189189189189189,1.21959459459459,1,4,133,"FSD",NA,"Grinkov et al. 2018"
"Greater sage-grouse, Centrocercus urophasianus",10,7.2,NA,NA,0.2,1.2,1,2,63,"466",78,"Semple et al (2001)"
"Saffron finch, Sicalis flaveola",54,3.66666666666667,NA,NA,0.222222222222222,1.2962962962963,1,4,NA,"FSD",NA,"BenitezSaldivar et al. 2019"
"Yellow-breasted chat, Icteria virens",55,2.1,1,3,0.233333333333333,1.26666666666667,1,2,157,"577",216,"Mino et al 2011b"
"Red-breasted flycatcher, Ficedula parva",33,4.81818181818182,NA,NA,0.242424242424242,1.39393939393939,1,3,134,"361",179,"Mitrus et al 2014"
"Acadian flycatcher, Empidonax virescens",12,2.41666666666667,NA,NA,0.25,1.25,1,2,118,"145",149,"Evans et al 2009"
